datetime,country,shape,duration_seconds
2004-10-10 22:00:00,us,light,60.0
2004-10-10 23:30:00,us,sphere,3000.0
2005-10-10 07:40:00,us,other,60.0
2005-10-10 09:00:00,us,other,30.0
2005-10-10 09:30:00,us,oval,1800.0
2005-10-10 14:45:00,us,egg,10.0
2005-10-10 20:00:00,us,triangle,300.0
2005-10-10 20:00:00,gb,formation,360.0
2005-10-10 21:00:00,us,unknown,240.0
2005-10-10 21:30:00,us,other,3600.0
2005-10-10 22:08:00,us,light,1200.0
2005-10-10 23:00:00,us,light,600.0
2005-10-10 23:07:00,us,disk,300.0
2006-10-10 01:00:00,us,diamond,3600.0
2006-10-10 05:00:00,us,triangle,600.0
2006-10-10 12:37:00,us,unknown,10.0
2006-10-10 16:00:00,us,light,600.0
2006-10-10 16:00:00,us,triangle,600.0
2006-10-10 19:00:00,,fireball,2.0
2006-10-10 20:00:00,us,other,360.0
2006-10-10 21:47:00,gb,formation,120.0
2006-10-10 22:40:00,us,light,120.0
2006-10-10 22:50:00,us,disk,300.0
2006-10-10 23:00:00,us,unknown,300.0
2007-10-10 01:00:00,us,light,14400.0
2007-10-10 01:00:00,us,changing,3600.0
2007-10-10 04:00:00,us,changing,2700.0
2007-10-10 04:30:00,us,sphere,30.0
2007-10-10 06:00:00,us,oval,600.0
2007-10-10 13:00:00,us,triangle,10800.0
2007-10-10 18:33:00,us,circle,120.0
2007-10-10 19:00:00,us,flash,3.0
2007-10-10 20:10:00,us,sphere,60.0
2007-10-10 20:24:00,,fireball,180.0
2007-10-10 20:30:00,us,unknown,3600.0
2007-10-10 20:55:00,us,unknown,30.0
2007-10-10 21:00:00,us,oval,120.0
2007-10-10 21:43:00,us,formation,35.0
2007-10-10 22:00:00,us,light,600.0
2007-10-10 22:00:00,us,circle,600.0
2007-10-10 22:00:00,us,unknown,3600.0
2007-10-10 22:00:00,us,other,4.0
2007-10-10 23:05:00,us,triangle,15.0
2007-10-10 23:20:00,,light,600.0
2008-10-10 02:00:00,ca,other,120.0
2008-10-10 02:00:00,us,light,300.0
2008-10-10 02:00:00,us,circle,240.0
2008-10-10 04:00:00,us,disk,600.0
2008-10-10 04:50:00,us,formation,600.0
2008-10-10 06:00:00,us,oval,45.0
2008-10-10 10:22:00,us,triangle,60.0
2008-10-10 18:00:00,us,triangle,900.0
2008-10-10 19:00:00,us,light,600.0
2008-10-10 20:00:00,us,formation,10.0
2008-10-10 20:00:00,,unknown,120.0
2008-10-10 20:00:00,us,oval,60.0
2008-10-10 20:00:00,us,light,180.0
2008-10-10 20:40:00,us,light,300.0
2008-10-10 21:30:00,us,oval,900.0
2008-10-10 22:00:00,us,disk,30.0
2008-10-10 22:30:00,us,circle,20.0
2008-10-10 23:15:00,us,sphere,60.0
2009-10-10 12:00:00,us,egg,60.0
2009-10-10 12:42:00,us,unknown,6.0
2009-10-10 16:24:00,us,unknown,180.0
2009-10-10 19:30:00,us,unknown,900.0
2009-10-10 20:30:00,us,light,300.0
2009-10-10 20:45:00,us,light,600.0
2009-10-10 21:00:00,us,disk,300.0
2009-10-10 23:00:00,us,changing,900.0
2009-10-10 23:23:00,us,light,180.0
2010-10-10 01:00:00,us,light,7200.0
2010-10-10 02:30:00,us,circle,240.0
2010-10-10 03:00:00,us,circle,180.0
2010-10-10 08:30:00,us,formation,600.0
2010-10-10 12:00:00,us,light,240.0
2010-10-10 13:00:00,us,light,180.0
2010-10-10 15:00:00,,triangle,300.0
2010-10-10 16:30:00,us,cigar,15.0
2010-10-10 17:10:00,us,light,600.0
2010-10-10 18:30:00,us,triangle,120.0
2010-10-10 20:00:00,us,oval,60.0
2010-10-10 20:20:00,us,fireball,5.0
2010-10-10 20:45:00,us,cylinder,600.0
2010-10-10 21:00:00,us,other,30.0
2010-10-10 21:00:00,us,disk,7200.0
2010-10-10 21:30:00,us,circle,10.0
2010-10-10 22:30:00,us,egg,7200.0
2010-10-10 23:00:00,us,changing,1200.0
2011-10-10 00:00:00,us,triangle,7200.0
2011-10-10 01:00:00,us,circle,300.0
2011-10-10 02:00:00,us,other,300.0
2011-10-10 10:30:00,us,circle,60.0
2011-10-10 14:00:00,gb,oval,300.0
2011-10-10 14:30:00,us,oval,40.0
2011-10-10 15:00:00,us,disk,5.0
2011-10-10 18:15:00,,flash,2700.0
2011-10-10 19:00:00,us,light,300.0
2011-10-10 19:30:00,,,2700.0
2011-10-10 20:00:00,ca,flash,4.0
2011-10-10 20:00:00,us,fireball,1200.0
2011-10-10 21:00:00,us,fireball,60.0
2011-10-10 21:00:00,us,circle,15.0
2011-10-10 21:55:00,us,circle,3.0
2011-10-10 23:00:00,us,triangle,90.0
2012-10-10 10:15:00,us,circle,630.0
2012-10-10 15:00:00,,triangle,300.0
2012-10-10 18:56:00,us,sphere,240.0
2012-10-10 19:09:00,us,oval,120.0
2012-10-10 19:40:00,us,light,900.0
2012-10-10 19:45:00,us,circle,240.0
2012-10-10 20:00:00,us,light,20.0
2012-10-10 20:00:00,us,changing,240.0
2012-10-10 20:15:00,us,disk,1800.0
2012-10-10 20:17:00,,triangle,30.0
2012-10-10 20:30:00,us,fireball,120.0
2012-10-10 20:30:00,us,light,240.0
2012-10-10 20:30:00,us,other,6.0
2012-10-10 20:45:00,us,sphere,300.0
2012-10-10 20:48:00,us,light,240.0
2012-10-10 21:00:00,us,changing,1200.0
2012-10-10 21:00:00,us,cigar,180.0
2012-10-10 21:00:00,us,light,600.0
2012-10-10 23:01:00,us,cylinder,20.0
2012-10-10 23:20:00,us,rectangle,5.0
2013-10-10 00:00:00,,light,60.0
